Uberstrain,Name,Data.Source.Accession.No..Sequencing.Platform.Sequencing.Library.Insert.Size.Experiment.Status.,Source.Niche,Source.Type,Source.Details,Collection.Year,Collection.Month,Collection.Day,Collection.Time,Continent,Country,Region,District,City,Post.Code,Latitude,Longitude,Lab.Contact,Species,Serological.Group,Serotype,EcoR.Cluster,Path.Nonpath,Simple.Patho,Simple.Disease,Comment,Bio.Project.ID,Project.ID,Disease,Sample.ID,Secondary.Sample.ID,Date.Entered,Release.Date,Barcode,Differences,ST,ST.Complex,Lineage,Subspecies,adk,fumC,gyrB,icd,mdh,purA,recA
ESC_AA0032AA,DPA41,traces-0oiZuUF;7GeneMLST;ND;;NA;Legacy,,Human,Human,1996,NA,NA,NA,Europe,Italy,,,,NA,NA,NA,H. Karch,,,O86,,Pathogen,EAEC,Diarrhoea,,NA,NA,Diarrhoea,NA,NA,8/26/2015,8/26/2015,ESC_AA0032AA,NA,10,ST10 Cplx,A,NA,10,11,4,8,8,8,2
ESC_AA0509AA,ED 147,traces-0bdXqsP;7GeneMLST;ND;;NA;Legacy,,Human,Human,NA,NA,NA,NA,Europe,Italy,,,,NA,NA,NA,T. Rosser,,,O26,,Pathogen,,None,,NA,NA,Bloody Diarrhoea,NA,NA,8/26/2015,8/26/2015,ESC_AA0509AA,NA,21,ST29 Cplx,B1,NA,16,4,12,16,9,7,7
ESC_AA0512AA,ED 17,traces-0TQmfPW;7GeneMLST;ND;;NA;Legacy,,Human,Human,NA,NA,NA,NA,Europe,Italy,,,,NA,NA,NA,T. Rosser,,,O26,,Pathogen,,None,,NA,NA,HUS,NA,NA,8/26/2015,8/26/2015,ESC_AA0512AA,NA,21,ST29 Cplx,B1,NA,16,4,12,16,9,7,7
ESC_AA0522AA,ED 551,traces-0VDoWDN;7GeneMLST;ND;;NA;Legacy,,Human,Human,NA,NA,NA,NA,Europe,Italy,,,,NA,NA,NA,T. Rosser,,,O26,,Pathogen,,None,,NA,NA,HUS,NA,NA,8/26/2015,8/26/2015,ESC_AA0522AA,NA,21,ST29 Cplx,B1,NA,16,4,12,16,9,7,7
ESC_AA0527AA,ED 567,traces-0iTmNIu;7GeneMLST;ND;;NA;Legacy,,Human,Human,NA,NA,NA,NA,Europe,Italy,,,,NA,NA,NA,T. Rosser,,,O26,,Pathogen,,None,,NA,NA,HUS,NA,NA,8/26/2015,8/26/2015,ESC_AA0527AA,NA,21,ST29 Cplx,B1,NA,16,4,12,16,9,7,7
ESC_AA0837AA,DEF53,traces-0FulwiT;7GeneMLST;ND;;NA;Legacy,,Human,Human,1996,NA,NA,NA,Europe,Italy,,,,NA,NA,NA,H. Karch,,O111:H-,O111,,Pathogen,EAEC,Diarrhoea,,NA,NA,Diarrhoea,NA,NA,8/26/2015,8/26/2015,ESC_AA0837AA,NA,40,ST40 Cplx,B1,NA,6,4,5,26,20,8,14
ESC_AA1177AA,VB 992065,traces-0ouRXqE;7GeneMLST;ND;;NA;Legacy,,Companion animal,Cat,2009,NA,NA,NA,Europe,Italy,,,,NA,NA,NA,IMT FU-Berlin,,O6,O6:NM,,Pathogen,UPEC,UTI,,NA,NA,UTI,NA,NA,8/26/2015,8/26/2015,ESC_AA1177AA,NA,73,ST73 Cplx,B2,NA,36,24,9,13,17,11,25
ESC_AA1203AA,VB 994374,traces-0HXIVzS;7GeneMLST;ND;;NA;Legacy,,Companion animal,Cat,2009,NA,NA,NA,Europe,Italy,,,,NA,NA,NA,IMT FU-Berlin,,O6,O6:NM,,Pathogen,UPEC,UTI,,NA,NA,UTI,NA,NA,8/26/2015,8/26/2015,ESC_AA1203AA,NA,73,ST73 Cplx,B2,NA,36,24,9,13,17,11,25
ESC_AA1584AA,VB 976520,traces-0BEyaUr;7GeneMLST;ND;;NA;Legacy,,Domesticated animal,Horse,2010,NA,NA,NA,Europe,Italy,,,,NA,NA,NA,IMT FU-Berlin,,,,,Pathogen,ExPEC,Wound infection,,NA,NA,Soft tissue infection,NA,NA,8/26/2015,8/26/2015,ESC_AA1584AA,NA,101,ST101 Cplx,B1,NA,43,41,15,18,11,7,6
ESC_AA1680AA,VB 989930,traces-0tfdDey;7GeneMLST;ND;;NA;Legacy,,Companion animal,Dog,2009,NA,NA,NA,Europe,Italy,,,,NA,NA,NA,IMT FU-Berlin,,,H31,,Pathogen,UPEC,UTI,,NA,NA,UTI,NA,NA,8/26/2015,8/26/2015,ESC_AA1680AA,NA,127,,B2,NA,13,14,19,36,23,11,10
ESC_AA1772AA,VB 991269,traces-0nBLrhR;7GeneMLST;ND;;NA;Legacy,,Companion animal,Dog,2009,NA,NA,NA,Europe,Italy,,,,NA,NA,NA,IMT FU-Berlin,,On.t.,On.t.:H4,,Pathogen,UPEC,UTI,,NA,NA,UTI,NA,NA,8/26/2015,8/26/2015,ESC_AA1772AA,NA,131,ST131 Cplx,B2,NA,53,40,47,13,36,28,29
ESC_AA1786AA,VB 956886,traces-0kdlThu;7GeneMLST;ND;;NA;Legacy,,Companion animal,Cat,2010,NA,NA,NA,Europe,Italy,,,,NA,NA,NA,IMT FU-Berlin,,On.t.,On.t.:H4,,Pathogen,UPEC,UTI,,NA,NA,UTI,NA,NA,8/26/2015,8/26/2015,ESC_AA1786AA,NA,131,ST131 Cplx,B2,NA,53,40,47,13,36,28,29
