Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Differences	ST	ST Complex	Lineage	Subspecies	adk	fumC	gyrB	icd	mdh	purA	recA
ESC_AA0361AA	VB 994140	traces-0jUIJtI;7GeneMLST;ND;;NA;Legacy		Companion animal	Cat	2009				Europe	Netherlands							IMT FU-Berlin		O25	O25:H1		Pathogen	UPEC	UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA0361AA	NaN	12	ST12 Cplx	B2		13	13	9	13	16	10	9
ESC_AA0954AA	VB 994670	traces-0tKQeSB;7GeneMLST;ND;;NA;Legacy		Companion animal	Dog	2009				Europe	Netherlands							IMT FU-Berlin		On.t.			Pathogen	UPEC	UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA0954AA	NaN	58	ST155 Cplx	AxB1		6	4	4	16	24	8	14
ESC_AA0996AA	97-1351	traces-0gObeVN;7GeneMLST;ND;;NA;Legacy		Human	Human	1997				Europe	Netherlands							James Johnson			O7:K1:NM	D	Pathogen	NMEC	None		NA	NA	NBM	NA	NA	2015-08-26	2015-08-26	ESC_AA0996AA	NaN	62		ABD		28	33	25	29	7	11	24
ESC_AA1157AA	VB 991372	traces-0VCWyNe;7GeneMLST;ND;;NA;Legacy		Companion animal	Dog	2009				Europe	Netherlands							IMT FU-Berlin		O2	O2:H1		Pathogen	UPEC	UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA1157AA	NaN	73	ST73 Cplx	B2		36	24	9	13	17	11	25
ESC_AA1394AA	VM 781901	traces-0fHmPLi;7GeneMLST;ND;;NA;Legacy		Companion animal	Dog	2009				Europe	Netherlands							IMT FU-Berlin		O18:K1:H7/-	O18:K1:H7		Pathogen	UPEC	UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA1394AA	NaN	95	ST95 Cplx	B2		37	38	19	37	17	11	26
ESC_AA1397AA	ISUNMEC48	traces-0ixlWdD;7GeneMLST;ND;;NA;Legacy		Human	Human					Europe	Netherlands							Spanjaard					Pathogen		None		NA	NA	Meningitis	NA	NA	2015-08-26	2015-08-26	ESC_AA1397AA	NaN	95	ST95 Cplx	B2		37	38	19	37	17	11	26
ESC_AA1405AA	ISUNMEC36	traces-0kVbKeY;7GeneMLST;ND;;NA;Legacy		Human	Human					Europe	Netherlands							Spanjaard			O14	B2	Pathogen		None		NA	NA	Meningitis	NA	NA	2015-08-26	2015-08-26	ESC_AA1405AA	NaN	95	ST95 Cplx	B2		37	38	19	37	17	11	26
ESC_AA1407AA	ISUNMEC70	traces-0uZttDv;7GeneMLST;ND;;NA;Legacy		Human	Human					North America	Netherlands							Nolan			n.t.	B2	Pathogen		None		NA	NA	Meningitis	NA	NA	2015-08-26	2015-08-26	ESC_AA1407AA	NaN	95	ST95 Cplx	B2		37	38	19	37	17	11	26
ESC_AA1421AA	IMT8899	traces-0jqOHfQ;7GeneMLST;ND;;NA;Legacy		Captive Bird	Ostrich	2003				Europe	Netherlands			The Hague				L.Wieler, C.Ewers			O1:K1		Pathogen	APEC	Septicemia		NA	NA	Septicemia	NA	NA	2015-08-26	2015-08-26	ESC_AA1421AA	NaN	95	ST95 Cplx	B2		37	38	19	37	17	11	26
ESC_AA1700AA	VB 992755	traces-0Tbqjol;7GeneMLST;ND;;NA;Legacy		Companion animal	Cat	2009				Europe	Netherlands							IMT FU-Berlin		O6	O6:NM		Pathogen	UPEC	UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA1700AA	NaN	127		B2		13	14	19	36	23	11	10
