Uberstrain,Name,Data.Source.Accession.No..Sequencing.Platform.Sequencing.Library.Insert.Size.Experiment.Status.,Source.Niche,Source.Type,Source.Details,Collection.Year,Collection.Month,Collection.Day,Collection.Time,Continent,Country,Region,District,City,Post.Code,Latitude,Longitude,Lab.Contact,Species,Serological.Group,Serotype,EcoR.Cluster,Path.Nonpath,Simple.Patho,Simple.Disease,Comment,Bio.Project.ID,Project.ID,Disease,Sample.ID,Secondary.Sample.ID,Date.Entered,Release.Date,Barcode,Differences,ST,ST.Complex,Lineage,Subspecies,adk,fumC,gyrB,icd,mdh,purA,recA
ESC_AA1042AA,S52_96,traces-0cCwrrv;7GeneMLST;ND;;NA;Legacy,,Food,,2010,NA,NA,NA,Europe,Portugal,,,Porto,NA,NA,NA,"Requimte. Dept Microbiol,  Pharmacy Faculty, Univ of Porto, Portugal",,,,D,,,None,,NA,NA,None,NA,NA,8/26/2015,8/26/2015,ESC_AA1042AA,NA,69,ST69 Cplx,D,NA,21,35,27,6,5,5,4
ESC_AA1108AA,S53_121,traces-0klVUwR;7GeneMLST;ND;;NA;Legacy,,Food,,2010,NA,NA,NA,Europe,Portugal,,,Porto,NA,NA,NA,"Requimte. Dept Microbiol,  Pharmacy Faculty, Univ of Porto, Portugal",,,,D,,,None,,NA,NA,None,NA,NA,8/26/2015,8/26/2015,ESC_AA1108AA,NA,69,ST69 Cplx,D,NA,21,35,27,6,5,5,4
ESC_AA2379AA,S54_136,traces-0drsoer;7GeneMLST;ND;;NA;Legacy,,Food,,2010,NA,NA,NA,Europe,Portugal,,,Porto,NA,NA,NA,"Requimte. Dept Microbiol,  Pharmacy Faculty, Univ of Porto, Portugal",,,,D,,,None,,NA,NA,None,NA,NA,8/26/2015,8/26/2015,ESC_AA2379AA,NA,297,,AxB1,NA,6,65,32,26,9,8,2
ESC_AA2513AA,Tr45_18,traces-0oShlJJ;7GeneMLST;ND;;NA;Legacy,,Environment,,2012,NA,NA,NA,Europe,Portugal,,,,NA,NA,NA,"Requimte. Dept Microbiol,  Pharmacy Faculty, Univ of Porto, Portugal",,,,B1,,,None,,NA,NA,None,NA,NA,8/26/2015,8/26/2015,ESC_AA2513AA,NA,345,ST23 Cplx,,NA,6,4,14,1,20,62,7
ESC_AA2535AA,37,traces-0IIGcKc;7GeneMLST;ND;;NA;Legacy,,Human,Human,2003,NA,NA,NA,Europe,Portugal,,,,NA,NA,NA,Hospital Ramon y Cajal (IRYCIS),,,,B2,Pathogen,,None,,NA,NA,None,NA,NA,8/26/2015,8/26/2015,ESC_AA2535AA,NA,354,ST354 Cplx,,NA,85,88,78,29,59,58,62
ESC_AA2762AA,38,traces-0RGFJBP;7GeneMLST;ND;;NA;Legacy,,Human,Human,2003,NA,NA,NA,Europe,Portugal,,,,NA,NA,NA,Hospital Ramon y Cajal (IRYCIS),,,,B2,Pathogen,,UTI,,NA,NA,UTI,NA,NA,8/26/2015,8/26/2015,ESC_AA2762AA,NA,405,ST405 Cplx,,NA,35,37,29,25,4,5,73
ESC_AA2843AA,Tr50_17,traces-0EiroVg;7GeneMLST;ND;;NA;Legacy,,Environment,,2012,NA,NA,NA,Europe,Portugal,,,,NA,NA,NA,"Requimte. Dept Microbiol,  Pharmacy Faculty, Univ of Porto, Portugal",,,,A,,,None,,NA,NA,None,NA,NA,8/26/2015,8/26/2015,ESC_AA2843AA,NA,423,ST23 Cplx,,NA,6,4,33,1,20,12,7
ESC_AA3158AA,Tr15_12,traces-0YjMsxS;7GeneMLST;ND;;NA;Legacy,,Fish,,2011,NA,NA,NA,Europe,Portugal,,,Porto,NA,NA,NA,"Requimte. Dept Microbiol,  Pharmacy Faculty, Univ of Porto, Portugal",,,,B1,,,None,,NA,NA,None,NA,NA,8/26/2015,8/26/2015,ESC_AA3158AA,NA,641,ST86 Cplx,,NA,9,6,33,131,24,8,7
ESC_AA3160AA,Tr20_12,traces-0oauBNH;7GeneMLST;ND;;NA;Legacy,,Fish,,2011,NA,NA,NA,Europe,Portugal,,,Porto,NA,NA,NA,"Requimte. Dept Microbiol,  Pharmacy Faculty, Univ of Porto, Portugal",,,,B1,,,None,,NA,NA,None,NA,NA,8/26/2015,8/26/2015,ESC_AA3160AA,NA,641,ST86 Cplx,,NA,9,6,33,131,24,8,7
ESC_AA3228AA,Tr28_19,traces-0ZvICSv;7GeneMLST;ND;;NA;Legacy,,Environment,,2011,NA,NA,NA,Europe,Portugal,,,,NA,NA,NA,"Requimte. Dept Microbiol,  Pharmacy Faculty, Univ of Porto, Portugal",,,,B1,,,None,,NA,NA,None,NA,NA,8/26/2015,8/26/2015,ESC_AA3228AA,NA,661,,AxB1,NA,119,150,12,16,24,8,6
