Uberstrain,Name,Data.Source.Accession.No..Sequencing.Platform.Sequencing.Library.Insert.Size.Experiment.Status.,Source.Niche,Source.Type,Source.Details,Collection.Year,Collection.Month,Collection.Day,Collection.Time,Continent,Country,Region,District,City,Post.Code,Latitude,Longitude,Lab.Contact,Species,Serological.Group,Serotype,EcoR.Cluster,Path.Nonpath,Simple.Patho,Simple.Disease,Comment,Bio.Project.ID,Project.ID,Disease,Sample.ID,Secondary.Sample.ID,Date.Entered,Release.Date,Barcode,Differences,ST,ST.Complex,Lineage,Subspecies,adk,fumC,gyrB,icd,mdh,purA,recA
ESC_AA0099AA,MOK631,traces-0zkvcgw;7GeneMLST;ND;;NA;Legacy,,Livestock,Bovine,2010,NA,NA,NA,Europe,Ireland,,,,,NA,NA,Orla Keane,,,,NA,Pathogen,,None,,NA,NA,Mastitis,NA,NA,8/26/2015,8/26/2015,ESC_AA0099AA,NA,10,ST10 Cplx,A,NA,10,11,4,8,8,8,2
ESC_AA0109AA,MOK626,traces-0YLsFii;7GeneMLST;ND;;NA;Legacy,,Livestock,Bovine,2010,NA,NA,NA,Europe,Ireland,,,,,NA,NA,Orla Keane,,,,NA,Pathogen,,None,,NA,NA,Mastitis,NA,NA,8/26/2015,8/26/2015,ESC_AA0109AA,NA,10,ST10 Cplx,A,NA,10,11,4,8,8,8,2
ESC_AA0125AA,MOK701,traces-0TyfXdt;7GeneMLST;ND;;NA;Legacy,,Livestock,Bovine,2010,NA,NA,NA,Europe,Ireland,,,,,NA,NA,Orla Keane,,,,NA,Pathogen,,None,,NA,NA,Mastitis,NA,NA,8/26/2015,8/26/2015,ESC_AA0125AA,NA,10,ST10 Cplx,A,NA,10,11,4,8,8,8,2
ESC_AA0183AA,MOK625,traces-0GqBIZF;7GeneMLST;ND;;NA;Legacy,,Livestock,Bovine,2010,NA,NA,NA,Europe,Ireland,,,,,NA,NA,Orla Keane,,,,NA,Pathogen,,None,,NA,NA,Mastitis,NA,NA,8/26/2015,8/26/2015,ESC_AA0183AA,NA,10,ST10 Cplx,A,NA,10,11,4,8,8,8,2
ESC_AA0187AA,MOK609,traces-0pTjork;7GeneMLST;ND;;NA;Legacy,,,Bovine,2010,NA,NA,NA,Europe,Ireland,,,,,NA,NA,Orla Keane,,,,NA,Pathogen,,None,,NA,NA,Mastitis,NA,NA,8/26/2015,8/26/2015,ESC_AA0187AA,NA,10,ST10 Cplx,A,NA,10,11,4,8,8,8,2
ESC_AA0191AA,MOK644,traces-0gajrOR;7GeneMLST;ND;;NA;Legacy,,Livestock,Bovine,2010,NA,NA,NA,Europe,Ireland,,,,,NA,NA,Orla Keane,,,,NA,Pathogen,,None,,NA,NA,Mastitis,NA,NA,8/26/2015,8/26/2015,ESC_AA0191AA,NA,10,ST10 Cplx,A,NA,10,11,4,8,8,8,2
ESC_AA0195AA,MOK624,traces-0diDWsX;7GeneMLST;ND;;NA;Legacy,,Livestock,Bovine,2010,NA,NA,NA,Europe,Ireland,,,,,NA,NA,Orla Keane,,,,NA,Pathogen,,None,,NA,NA,Mastitis,NA,NA,8/26/2015,8/26/2015,ESC_AA0195AA,NA,10,ST10 Cplx,A,NA,10,11,4,8,8,8,2
ESC_AA0199AA,MOK636,traces-0hFrHld;7GeneMLST;ND;;NA;Legacy,,Livestock,Bovine,2010,NA,NA,NA,Europe,Ireland,,,,,NA,NA,Orla Keane,,,,NA,Pathogen,,None,,NA,NA,Mastitis,NA,NA,8/26/2015,8/26/2015,ESC_AA0199AA,NA,10,ST10 Cplx,A,NA,10,11,4,8,8,8,2
ESC_AA0201AA,MOK634,traces-0WbGoet;7GeneMLST;ND;;NA;Legacy,,Livestock,Bovine,2010,NA,NA,NA,Europe,Ireland,,,,,NA,NA,Orla Keane,,,,NA,Pathogen,,None,,NA,NA,Mastitis,NA,NA,8/26/2015,8/26/2015,ESC_AA0201AA,NA,10,ST10 Cplx,A,NA,10,11,4,8,8,8,2
ESC_AA0209AA,MOK700,traces-0cewBgS;7GeneMLST;ND;;NA;Legacy,,Livestock,Bovine,2010,NA,NA,NA,Europe,Ireland,,,,,NA,NA,Orla Keane,,,,NA,Pathogen,,None,,NA,NA,Mastitis,NA,NA,8/26/2015,8/26/2015,ESC_AA0209AA,NA,10,ST10 Cplx,A,NA,10,11,4,8,8,8,2
