Uberstrain,Name,Data.Source.Accession.No..Sequencing.Platform.Sequencing.Library.Insert.Size.Experiment.Status.,Source.Niche,Source.Type,Source.Details,Collection.Year,Collection.Month,Collection.Day,Collection.Time,Continent,Country,Region,District,City,Post.Code,Latitude,Longitude,Lab.Contact,Species,Serological.Group,Serotype,EcoR.Cluster,Path.Nonpath,Simple.Patho,Simple.Disease,Comment,Bio.Project.ID,Project.ID,Disease,Sample.ID,Secondary.Sample.ID,Date.Entered,Release.Date,Barcode,Differences,ST,ST.Complex,Lineage,Subspecies,adk,fumC,gyrB,icd,mdh,purA,recA
ESC_AA0114AA,Trh16,traces-0oGLiSG;7GeneMLST;ND;;NA;Legacy,,Human,Human,2002,NA,NA,NA,Europe,Norway,,,Trondheim,NA,NA,NA,J.E.Afset,,O157,O157,,Pathogen,EPEC,None,,NA,NA,None,NA,NA,8/26/2015,8/26/2015,ESC_AA0114AA,NA,10,ST10 Cplx,A,NA,10,11,4,8,8,8,2
ESC_AA0118AA,Trh12,traces-0qDvovp;7GeneMLST;ND;;NA;Legacy,,Human,Human,2002,NA,NA,NA,Europe,Norway,,,Trondheim,NA,NA,NA,J.E.Afset,,,O117,,Pathogen,EPEC,None,,NA,NA,None,NA,NA,8/26/2015,8/26/2015,ESC_AA0118AA,NA,10,ST10 Cplx,A,NA,10,11,4,8,8,8,2
ESC_AA0120AA,Trh11,traces-0KPcLzx;7GeneMLST;ND;;NA;Legacy,,Human,Human,2002,NA,NA,NA,Europe,Norway,,,Trondheim,NA,NA,NA,J.E.Afset,,O157,O157,,Pathogen,EPEC,None,,NA,NA,None,NA,NA,8/26/2015,8/26/2015,ESC_AA0120AA,NA,10,ST10 Cplx,A,NA,10,11,4,8,8,8,2
ESC_AA0128AA,Trh10,traces-0SQpxtK;7GeneMLST;ND;;NA;Legacy,,Human,Human,2002,NA,NA,NA,Europe,Norway,,,Trondheim,NA,NA,NA,J.E.Afset,,O51,O51,,Pathogen,EPEC,None,,NA,NA,None,NA,NA,8/26/2015,8/26/2015,ESC_AA0128AA,NA,10,ST10 Cplx,A,NA,10,11,4,8,8,8,2
ESC_AA0132AA,Trh7,traces-0vfzFCh;7GeneMLST;ND;;NA;Legacy,,Human,Human,2002,NA,NA,NA,Europe,Norway,,,Trondheim,NA,NA,NA,J.E.Afset,,,O145,,Pathogen,EPEC,None,,NA,NA,None,NA,NA,8/26/2015,8/26/2015,ESC_AA0132AA,NA,10,ST10 Cplx,A,NA,10,11,4,8,8,8,2
ESC_AA0438AA,Trh45,traces-0CzdULW;7GeneMLST;ND;;NA;Legacy,,Human,Human,2002,NA,NA,NA,Europe,Norway,,,Trondheim,NA,NA,NA,J.E.Afset,,O51,O51,,Pathogen,EPEC,Diarrhoea,,NA,NA,Diarrhoea,NA,NA,8/26/2015,8/26/2015,ESC_AA0438AA,NA,20,ST20 Cplx,B1,NA,6,4,3,18,7,7,6
ESC_AA0453AA,Trh13,traces-0pbxiVx;7GeneMLST;ND;;NA;Legacy,,Human,Human,2002,NA,NA,NA,Europe,Norway,,,Trondheim,NA,NA,NA,J.E.Afset,,O51,O51,,Pathogen,EPEC,None,,NA,NA,None,NA,NA,8/26/2015,8/26/2015,ESC_AA0453AA,NA,20,ST20 Cplx,B1,NA,6,4,3,18,7,7,6
ESC_AA0454AA,Trh6,traces-0iHdYbw;7GeneMLST;ND;;NA;Legacy,,Human,Human,2002,NA,NA,NA,Europe,Norway,,,Trondheim,NA,NA,NA,J.E.Afset,,,n.t.,,Pathogen,EPEC,None,,NA,NA,None,NA,NA,8/26/2015,8/26/2015,ESC_AA0454AA,NA,20,ST20 Cplx,B1,NA,6,4,3,18,7,7,6
ESC_AA0589AA,Trh4,traces-0IbGDCo;7GeneMLST;ND;;NA;Legacy,,Human,Human,2002,NA,NA,NA,Europe,Norway,,,Trondheim,NA,NA,NA,J.E.Afset,,,n.t.,,Pathogen,EPEC,None,,NA,NA,None,NA,NA,8/26/2015,8/26/2015,ESC_AA0589AA,NA,28,ST28 Cplx,ABD,NA,13,21,13,22,17,14,15
ESC_AA0591AA,Trh2,traces-0NqxlHO;7GeneMLST;ND;;NA;Legacy,,Human,Human,2002,NA,NA,NA,Europe,Norway,,,Trondheim,NA,NA,NA,J.E.Afset,,,n.t.,,Pathogen,EPEC,None,,NA,NA,None,NA,NA,8/26/2015,8/26/2015,ESC_AA0591AA,NA,28,ST28 Cplx,ABD,NA,13,21,13,22,17,14,15
ESC_AA0592AA,Trh18,traces-0IxzFfJ;7GeneMLST;ND;;NA;Legacy,,Human,Human,2002,NA,NA,NA,Europe,Norway,,,Trondheim,NA,NA,NA,J.E.Afset,,,n.t.,,Pathogen,EPEC,None,,NA,NA,None,NA,NA,8/26/2015,8/26/2015,ESC_AA0592AA,NA,28,ST28 Cplx,ABD,NA,13,21,13,22,17,14,15
ESC_AA0593AA,Trh17,traces-0YCsVeX;7GeneMLST;ND;;NA;Legacy,,Human,Human,2002,NA,NA,NA,Europe,Norway,,,Trondheim,NA,NA,NA,J.E.Afset,,,O139,,Pathogen,EPEC,None,,NA,NA,None,NA,NA,8/26/2015,8/26/2015,ESC_AA0593AA,NA,28,ST28 Cplx,ABD,NA,13,21,13,22,17,14,15
ESC_AA0595AA,Trh3,traces-0yESvug;7GeneMLST;ND;;NA;Legacy,,Human,Human,2002,NA,NA,NA,Europe,Norway,,,Trondheim,NA,NA,NA,J.E.Afset,,,n.t.,,Pathogen,EPEC,None,,NA,NA,None,NA,NA,8/26/2015,8/26/2015,ESC_AA0595AA,NA,28,ST28 Cplx,ABD,NA,13,21,13,22,17,14,15
ESC_AA0597AA,Trh27,traces-0hhxdPX;7GeneMLST;ND;;NA;Legacy,,Human,Human,2002,NA,NA,NA,Europe,Norway,,,Trondheim,NA,NA,NA,J.E.Afset,,,n.t.,,Pathogen,EPEC,Diarrhoea,,NA,NA,Diarrhoea,NA,NA,8/26/2015,8/26/2015,ESC_AA0597AA,NA,28,ST28 Cplx,ABD,NA,13,21,13,22,17,14,15
