"Uberstrain","Name","Data.Source.Accession.No..Sequencing.Platform.Sequencing.Library.Insert.Size.Experiment.Status.","Source.Niche","Source.Type","Source.Details","Collection.Year","Collection.Month","Collection.Day","Collection.Time","Continent","Country","Region","District","City","Post.Code","Latitude","Longitude","Lab.Contact","Species","Serological.Group","Serotype","EcoR.Cluster","Path.Nonpath","Simple.Patho","Simple.Disease","Comment","Bio.Project.ID","Project.ID","Disease","Sample.ID","Secondary.Sample.ID","Date.Entered","Release.Date","Barcode","Differences","ST","ST.Complex","Lineage","Subspecies","adk","fumC","gyrB","icd","mdh","purA","recA"
"ESC_LA5020AA","CRO_MD01_1509_Eco_084","SRR6724041;ILLUMINA;Paired;;SRX3697488;SRA","Companion Animal","Canine","Canis lupus familiaris; military dog fecal sample",2015,9,10,NA,"Europe","Croatia","","","",NA,NA,NA,"Northern Arizona University","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA433857","SRP132815","","SAMN08519284","SRS2956982","2019-02-11","2018-07-14","ESC_LA5020AA",NA,2450,"ST46 Cplx","A",NA,8,7,1,8,8,13,6
"ESC_AA3636AA","424/06 (100ST)","traces-0qaBquD;7GeneMLST;ND;;NA;Legacy","","Human","Human",NA,NA,NA,NA,"Europe","Croatia","","","Split",NA,NA,NA,"University Hospital,Split,Croatia; National Medicines Institute, Warsaw,Poland","",NA,"",NA,"Pathogen",NA,"None",NA,NA,NA,"UTI",NA,NA,"2015-08-26","2015-08-26","ESC_AA3636AA",NA,1027,"","",NA,10,11,4,8,23,11,2
"ESC_AA3637AA","425/06 (36ST)","traces-0Kyuwlu;7GeneMLST;ND;;NA;Legacy","","Human","Human",NA,NA,NA,NA,"Europe","Croatia","","","Split",NA,NA,NA,"University Hospital,Split,Croatia; National Medicines Institute, Warsaw,Poland","",NA,"",NA,"Pathogen",NA,"None",NA,NA,NA,"UTI",NA,NA,"2015-08-26","2015-08-26","ESC_AA3637AA",NA,1028,"","",NA,6,11,4,8,17,8,2
"ESC_AA3645AA","417/06 (52ZG)","traces-0hOFQXJ;7GeneMLST;ND;;NA;Legacy","","Human","Human",NA,NA,NA,NA,"Europe","Croatia","","","Zagreb",NA,NA,NA,"Clinical Hospital Center in Zagreb","",NA,"",NA,"Pathogen",NA,"None",NA,NA,NA,"None",NA,NA,"2015-08-26","2015-08-26","ESC_AA3645AA",NA,1035,"ST131 Cplx","",NA,53,40,47,13,20,28,29
"ESC_AA3646AA","421/06 (16ST)","traces-0JbazWa;7GeneMLST;ND;;NA;Legacy","","Human","Human",NA,NA,NA,NA,"Europe","Croatia","","","Split",NA,NA,NA,"University Hospital,Split,Croatia","",NA,"",NA,"",NA,"None",NA,NA,NA,"None",NA,NA,"2015-08-26","2015-08-26","ESC_AA3646AA",NA,1036,"","",NA,6,4,12,1,23,11,7
"ESC_AA3647AA","419/06 (49dZG)","traces-0SmsFSa;7GeneMLST;ND;;NA;Legacy","","Human","Human",NA,NA,NA,NA,"Europe","Croatia","","","Zagreb",NA,NA,NA,"Sisters of Mercy Hospital in Zagreb","",NA,"",NA,"",NA,"None",NA,NA,NA,"None",NA,NA,"2015-08-26","2015-08-26","ESC_AA3647AA",NA,1037,"ST73 Cplx","",NA,36,24,9,13,36,8,25
"ESC_AA3648AA","422/06 (32ST)","traces-0xvKcHD;7GeneMLST;ND;;NA;Legacy","","Human","Human",NA,NA,NA,NA,"Europe","Croatia","","","Split",NA,NA,NA,"University Hospital,Split,Croatia","",NA,"",NA,"Pathogen",NA,"None",NA,NA,NA,"None",NA,NA,"2015-08-26","2015-08-26","ESC_AA3648AA",NA,1038,"","",NA,13,14,19,36,8,12,2
"ESC_AA3649AA","423/06 (86ST)","traces-0zxthWO;7GeneMLST;ND;;NA;Legacy","","Human","Human",NA,NA,NA,NA,"Europe","Croatia","","","Split",NA,NA,NA,"University Hospital,Split,Croatia","",NA,"",NA,"Pathogen",NA,"None",NA,NA,NA,"None",NA,NA,"2015-08-26","2015-08-26","ESC_AA3649AA",NA,1039,"","",NA,13,14,19,36,8,11,10
"ESC_QA3284AA","C31","SRR11087382;ILLUMINA;Paired;;SRX7726327;SRA","Human","Human","Homo sapiens; feces",NA,NA,NA,NA,"Europe","Croatia","City of Zagreb","HR.21.3186885","Zagreb",NA,NA,NA,"Clinical Microbiology Department","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA606680","SRP249512","","SAMN14091515","SRS6147777","2020-02-14","2020-02-14","ESC_QA3284AA",NA,540,"","AxB1",NA,6,7,57,1,8,8,2
"ESC_CB2598AA","DTU_2021_1000049_3_SI_HRV_ZAG_050","ERR10441561;ILLUMINA;Paired;;ERX9967089;SRA","Human","Human","Homo Sapiens; aspirate",2020,2,26,NA,"Europe","Croatia","","","",NA,NA,NA,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB56918","ERP141886","","SAMEA111504009","ERS13616371","2022-11-01","2022-11-01","ESC_CB2598AA",NA,127,"","B2",NA,13,14,19,36,23,11,10
