Uberstrain,Name,Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status),Source Niche,Source Type,Source Details,Collection Year,Collection Month,Collection Day,Collection Time,Continent,Country,Region,District,City,Post Code,Latitude,Longitude,Lab Contact,Species,Serological Group,Serotype,EcoR Cluster,Path/Nonpath,Simple Patho,Comment,Simple Disease,Disease,Bio Project ID,Project ID,Sample ID,Secondary Sample ID,Date Entered,Release Date,Barcode,Differences,ST,ST Complex,Lineage,Subspecies,adk,fumC,gyrB,icd,mdh,purA,recA
ESC_AA8002AA,28-79,ERR832484;ILLUMINA;Paired;209;ERX912558;NEW,,,,1979,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf6 (biovar Boyd 88),,,,,,,PRJEB2846,ERP001161,SAMEA1985495,ERS093701,8/27/15,6/20/15,ESC_AA8002AA,,145,ST243 Cplx,B1,,1,10,1,1,1,1,1
ESC_AA8004AA,262.78,ERR832483;ILLUMINA;Paired;209;ERX912557;NEW,Human,Human,Human,1978,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf1a,,,S. flexneri,Lineage 1,,,PRJEB2846,ERP001161,SAMEA1984604,ERS093700,8/27/15,6/20/15,ESC_AA8004AA,,1024,ST245 Cplx,,,6,158,6,11,13,3,50
ESC_AA8007AA,14.75,ERR832481;ILLUMINA;Paired;209;ERX912555;NEW,Human,Human,Human,1975,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,SfY,,,S. flexneri,Lineage 3,,,PRJEB2846,ERP001161,SAMEA1985494,ERS093698,8/27/15,6/21/15,ESC_AA8007AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA1567AA,IB48279,ERR025716;ILLUMINA;Paired;200;ERX009791;NEW,Human,Human,Homo sapiens; feces,1979,1,1,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,"Lineage III; Baker et al., 2017 CMI 23:845-942",,,PRJEB2128,ERP000182,SAMEA954632,ERS009823,8/27/15,3/18/11,ESC_BA1567AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_BA1576AA,Jun-58,ERR025734;ILLUMINA;Paired;200;ERX009790;NEW,Human,Human,Homo sapiens; feces,1958,1,1,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,"Lineage II; Baker et al., 2017 CMI 23:845-954",,,PRJEB2128,ERP000182,SAMEA954705,ERS009842,8/27/15,3/18/11,ESC_BA1576AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_BA1579AA,1267,ERR025735;ILLUMINA;Paired;200;ERX009790;NEW,Human,Human,Homo sapiens; feces,1967,1,1,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,"Lineage II; Baker et al., 2017 CMI 23:845-955",,,PRJEB2128,ERP000182,SAMEA954672,ERS009851,8/27/15,3/18/11,ESC_BA1579AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_BA1583AA,Feb-59,ERR025737;ILLUMINA;Paired;200;ERX009790;NEW,Human,Human,Homo sapiens; feces,1959,1,1,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,"Lineage IV; Baker et al., 2017 CMI 23:845-956",,,PRJEB2128,ERP000182,SAMEA954706,ERS009843,8/27/15,3/18/11,ESC_BA1583AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_BA1585AA,Sh1460,ERR025738;ILLUMINA;Paired;200;ERX009790;NEW,Human,Human,Homo sapiens; stool,2004,,,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,"Lineage I; Baker et al., 2017 CMI 23:845-957",,,PRJEB2128,ERP000182,SAMEA954713,ERS009844,8/27/15,3/18/11,ESC_BA1585AA,,1502,ST152 Cplx,B1,,6,63,7,1,14,7,7
ESC_BA1588AA,sh1461,ERR025739;ILLUMINA;Paired;200;ERX009790;NEW,Human,Human,Homo sapiens; stool,2004,,,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,Holt Lineage I,,,PRJEB2128,ERP000182,SAMEA954714,ERS009845,8/27/15,3/18/11,ESC_BA1588AA,,1502,ST152 Cplx,B1,,6,63,7,1,14,7,7
ESC_BA1592AA,1263,ERR025741;ILLUMINA;Paired;200;ERX009790;NEW,Human,Human,Homo sapiens; feces,1963,1,1,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,"Lineage I; Baker et al., 2017 CMI 23:845-958",,,PRJEB2128,ERP000182,SAMEA954711,ERS009847,8/27/15,3/18/11,ESC_BA1592AA,,1502,ST152 Cplx,B1,,6,63,7,1,14,7,7
