"Uberstrain","Name","Data.Source.Accession.No..Sequencing.Platform.Sequencing.Library.Insert.Size.Experiment.Status.","Source.Niche","Source.Type","Source.Details","Collection.Year","Collection.Month","Collection.Day","Collection.Time","Continent","Country","Region","District","City","Post.Code","Latitude","Longitude","Lab.Contact","Species","Serological.Group","Serotype","EcoR.Cluster","Path.Nonpath","Simple.Patho","Simple.Disease","Comment","Bio.Project.ID","Project.ID","Disease","Sample.ID","Secondary.Sample.ID","Date.Entered","Release.Date","Barcode","Differences","ST","ST.Complex","Lineage","Subspecies","adk","fumC","gyrB","icd","mdh","purA","recA"
"ESC_AA0002AA","2200","traces-0dWehyp;7GeneMLST;ND;;NA;Legacy","","Animal","Swine",1988,NA,NA,NA,"Europe","Hungary","","","Budapest",NA,NA,NA,"B. Nagy, Veterinary Medical Research Institute, Budapest","","","O139:F18ab",NA,"Pathogen","VTEC","Diarrhoea","",NA,NA,"Diarrhoea",NA,NA,"2015-08-26","2015-08-26","ESC_AA0002AA",NA,1,"","D",NA,4,2,2,4,4,4,4
"ESC_AA0003AA","2162","traces-0KnuCWe;7GeneMLST;ND;;NA;Legacy","","Animal","Swine",1988,NA,NA,NA,"Europe","Hungary","","","Budapest",NA,NA,NA,"B. Nagy, Veterinary Medical Research Institute, Budapest","","","O139:F18ab",NA,"Pathogen","VTEC","Diarrhoea","",NA,NA,"Diarrhoea",NA,NA,"2015-08-26","2015-08-26","ESC_AA0003AA",NA,1,"","D",NA,4,2,2,4,4,4,4
"ESC_AA0174AA","2156","traces-0yWIKij;7GeneMLST;ND;;NA;Legacy","","Animal","Swine",1988,NA,NA,NA,"Europe","Hungary","","","Budapest",NA,NA,NA,"B. Nagy, Veterinary Medical Research Institute, Budapest","","","O141:F18ac",NA,"Pathogen","ETEC","Diarrhoea","",NA,NA,"Diarrhoea",NA,NA,"2015-08-26","2015-08-26","ESC_AA0174AA",NA,10,"ST10 Cplx","A",NA,10,11,4,8,8,8,2
"ESC_AA0859AA","2283","traces-0DBKKOs;7GeneMLST;ND;;NA;Legacy","","Animal","Swine",1988,NA,NA,NA,"Europe","Hungary","","","Budapest",NA,NA,NA,"B. Nagy, Veterinary Medical Research Institute, Budapest","","","O138:F18ac",NA,"Pathogen","ETEC","Diarrhoea","",NA,NA,"Diarrhoea",NA,NA,"2015-08-26","2015-08-26","ESC_AA0859AA",NA,42,"","ABD",NA,23,28,22,27,5,16,4
"ESC_AA1328AA","7117","traces-0WMrUaU;7GeneMLST;ND;;NA;Legacy","","Human","Human",1999,NA,NA,NA,"Europe","Hungary","","","Pecs",NA,NA,NA,"J. Hacker","","","",NA,"Pathogen","","UTI","",NA,NA,"UTI",NA,NA,"2015-08-26","2015-08-26","ESC_AA1328AA",NA,88,"ST23 Cplx","B1",NA,6,4,12,1,20,12,7
"ESC_AA3374AA","2134","traces-0fRSvsm;7GeneMLST;ND;;NA;Legacy","","Animal","Swine",1988,NA,NA,NA,"Europe","Hungary","","","Budapest",NA,NA,NA,"B. Nagy, Veterinary Medical Research Institute, Budapest","","","O157:F18ac",NA,"Pathogen","ETEC","Diarrhoea","",NA,NA,"Diarrhoea",NA,NA,"2015-08-26","2015-08-26","ESC_AA3374AA",NA,758,"","A",NA,8,7,4,8,8,8,6
"ESC_AA3375AA","2172","traces-0HRmCwx;7GeneMLST;ND;;NA;Legacy","","Animal","Swine",1988,NA,NA,NA,"Europe","Hungary","","","Budapest",NA,NA,NA,"B. Nagy, Veterinary Medical Research Institute, Budapest","","","O141:F18ac",NA,"Pathogen","ETEC","Diarrhoea","",NA,NA,"Diarrhoea",NA,NA,"2015-08-26","2015-08-26","ESC_AA3375AA",NA,759,"","",NA,10,11,5,8,8,8,44
"ESC_AA3376AA","2173","traces-0zwdKof;7GeneMLST;ND;;NA;Legacy","","Animal","Swine",1988,NA,NA,NA,"Europe","Hungary","","","Budapest",NA,NA,NA,"B. Nagy, Veterinary Medical Research Institute, Budapest","","","O147:F18ac",NA,"Pathogen","ETEC","Diarrhoea","",NA,NA,"Diarrhoea",NA,NA,"2015-08-26","2015-08-26","ESC_AA3376AA",NA,760,"","",NA,23,28,4,27,5,16,4
"ESC_AA3377AA","2185","traces-0wXVyAi;7GeneMLST;ND;;NA;Legacy","","Animal","Swine",1988,NA,NA,NA,"Europe","Hungary","","","Budapest",NA,NA,NA,"B. Nagy, Veterinary Medical Research Institute, Budapest","","","O141:F18ac",NA,"Pathogen","ETEC","Diarrhoea","",NA,NA,"Diarrhoea",NA,NA,"2015-08-26","2015-08-26","ESC_AA3377AA",NA,761,"ST10 Cplx","",NA,10,11,5,8,8,8,2
"ESC_AA3379AA","2188","traces-0cXcjmh;7GeneMLST;ND;;NA;Legacy","","Animal","Swine",1988,NA,NA,NA,"Europe","Hungary","","","Budapest",NA,NA,NA,"B. Nagy, Veterinary Medical Research Institute, Budapest","","","O157:F18ac",NA,"Pathogen","ETEC","Diarrhoea","",NA,NA,"Diarrhoea",NA,NA,"2015-08-26","2015-08-26","ESC_AA3379AA",NA,763,"","AxB1",NA,137,4,5,1,11,13,7
