Uberstrain,Name,Data.Source.Accession.No..Sequencing.Platform.Sequencing.Library.Insert.Size.Experiment.Status.,Source.Niche,Source.Type,Source.Details,Collection.Year,Collection.Month,Collection.Day,Collection.Time,Continent,Country,Region,District,City,Post.Code,Latitude,Longitude,Lab.Contact,Species,Serological.Group,Serotype,EcoR.Cluster,Path.Nonpath,Simple.Patho,Comment,Simple.Disease,Disease,Bio.Project.ID,Project.ID,Sample.ID,Secondary.Sample.ID,Date.Entered,Release.Date,Barcode,Differences,ST,ST.Complex,Lineage,Subspecies,adk,fumC,gyrB,icd,mdh,purA,recA
ESC_AA0428AA,C2023-99A,traces-0TYlELk;7GeneMLST;ND;;NA;Legacy,,Human,Human,1999,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,,,,O103:H2,,,Diarrhoea,,None,Bloody Diarrhoea,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA0428AA,NA,17,ST20 Cplx,B1,NA,6,4,3,17,7,7,6
ESC_AA0794AA,VB 962882,traces-0KmBJpm;7GeneMLST;ND;;NA;Legacy,,Companion animal,Dog,2010,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IMT FU-Berlin,,,,,Pathogen,ExPEC,,Wound infection,Soft tissue infection,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA0794AA,NA,38,ST38 Cplx,D,NA,4,26,2,25,5,5,19
ESC_AA1395AA,A25 (D699),traces-0wasWjL;7GeneMLST;ND;;NA;Legacy,,Human,Human,1941,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,M. Achtman,,O1:K1:H7/-,O1:H7:K1,,Pathogen,,,UTI,UTI,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA1395AA,NA,95,ST95 Cplx,B2,NA,37,38,19,37,17,11,26
ESC_AA1688AA,VB 990935,traces-0ywptmw;7GeneMLST;ND;;NA;Legacy,,Companion animal,Dog,2009,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IMT FU-Berlin,,O6,O6:NM,,Pathogen,UPEC,,UTI,UTI,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA1688AA,NA,127,,B2,NA,13,14,19,36,23,11,10
ESC_AA1777AA,IMT17530,traces-0LuELLS;7GeneMLST;ND;;NA;Legacy,,Companion animal,Dog,2008,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IMT FU-Berlin,,,O25b:H4,,Pathogen,,,Cystitis/Pyelonephritis,UTI,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA1777AA,NA,131,ST131 Cplx,B2,NA,53,40,47,13,36,28,29
ESC_AA1781AA,IMT18582,traces-0uogHox;7GeneMLST;ND;;NA;Legacy,,Companion animal,Dog,2009,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IMT FU-Berlin,,,O25b:H4,,Pathogen,,,Wound infection,Wound infection,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA1781AA,NA,131,ST131 Cplx,B2,NA,53,40,47,13,36,28,29
ESC_AA2641AA,VB 992583,traces-0ULeDsn;7GeneMLST;ND;;NA;Legacy,,Companion animal,Dog,2009,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IMT FU-Berlin,,On.t.,On.t.:H31,,Pathogen,UPEC,,UTI,UTI,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA2641AA,NA,372,,,NA,88,103,19,36,23,44,26
ESC_AA2658AA,VB 963571,traces-0nLACvG;7GeneMLST;ND;;NA;Legacy,,Companion animal,Dog,2010,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IMT FU-Berlin,,,,,Pathogen,ExPEC,,Wound infection,Soft tissue infection,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA2658AA,NA,372,,,NA,88,103,19,36,23,44,26
ESC_AA2677AA,7633094-7,traces-0hPSEPl;7GeneMLST;ND;;NA;Legacy,,Food,Bovine,2004,NA,NA,NA,Europe,Denmark,,,Copenhagen,NA,NA,NA,DFVF,,,,,,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA2677AA,NA,380,ST40 Cplx,,NA,6,11,5,18,11,8,14
ESC_AA3300AA,C230-04EVL,traces-0tMaJLm;7GeneMLST;ND;;NA;Legacy,,Human,,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,SSI,,,OX184:H10,,,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA3300AA,NA,711,,AxB1,NA,9,6,15,131,24,7,7
ESC_AA3304AA,EVL_C231-04,traces-0VwxLRR;7GeneMLST;ND;;NA;Legacy,,Human,Human,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,SSI,,,O126:H20,,,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA3304AA,NA,714,,,NA,126,160,131,6,5,5,99
