"Uberstrain","Name","Data.Source.Accession.No..Sequencing.Platform.Sequencing.Library.Insert.Size.Experiment.Status.","Source.Niche","Source.Type","Source.Details","Collection.Year","Collection.Month","Collection.Day","Collection.Time","Continent","Country","Region","District","City","Post.Code","Latitude","Longitude","Lab.Contact","Species","Serological.Group","Serotype","EcoR.Cluster","Path.Nonpath","Simple.Patho","Simple.Disease","Comment","Bio.Project.ID","Project.ID","Disease","Sample.ID","Secondary.Sample.ID","Date.Entered","Release.Date","Barcode","Differences","ST","ST.Complex","Lineage","Subspecies","adk","fumC","gyrB","icd","mdh","purA","recA"
"ESC_AA0011AA","ETEC_22-2_V","traces-0zjIJrL;7GeneMLST;ND;;NA;Legacy","","Human","Human",2011,NA,NA,NA,"Europe","Russia","","","Cherepovets",NA,NA,NA,"SRCAMB","","","",NA,"Pathogen","ETEC","Diarrhoea","",NA,NA,"Diarrhoea",NA,NA,"2015-08-26","2015-08-26","ESC_AA0011AA",NA,4,"ST10 Cplx","A",NA,6,5,4,8,8,8,2
"ESC_AA0013AA","ETEC_112-2","traces-0lqWwMU;7GeneMLST;ND;;NA;Legacy","","Food","Soured Cream",2011,NA,NA,NA,"Europe","Russia","","","Cherepovets",NA,NA,NA,"SRCAMB","","O6","",NA,"Pathogen","ETEC","Diarrhoea","",NA,NA,"Diarrhoea",NA,NA,"2015-08-26","2015-08-26","ESC_AA0013AA",NA,4,"ST10 Cplx","A",NA,6,5,4,8,8,8,2
"ESC_AA0014AA","Ef-7","traces-0PaZiBx;7GeneMLST;ND;;NA;Legacy","","Human","Human",2012,NA,NA,NA,"Middle East","Russia","","","Vladivostok",NA,NA,NA,"SRCAMB","","O142","",NA,"Pathogen","ETEC","Diarrhoea","",NA,NA,"Diarrhoea",NA,NA,"2015-08-26","2015-08-26","ESC_AA0014AA",NA,4,"ST10 Cplx","A",NA,6,5,4,8,8,8,2
"ESC_AA2074AA","K28-57","traces-0WiNbJk;7GeneMLST;ND;;NA;Legacy","","Human","Human",2004,NA,NA,NA,"Europe","Russia","","","Archangel",NA,NA,NA,"","","","",NA,"Pathogen","","UTI","",NA,NA,"UTI",NA,NA,"2015-08-26","2015-08-26","ESC_AA2074AA",NA,167,"ST10 Cplx","A",NA,10,11,4,8,8,13,2
"ESC_AA3653AA","ETEC_121-3_V","traces-0JsRvpj;7GeneMLST;ND;;NA;Legacy","","Human","Human",2011,NA,NA,NA,"Europe","Russia","","","Cherepovets",NA,NA,NA,"SRCAMB","","O25","",NA,"Pathogen","ETEC","Diarrhoea","",NA,NA,"Diarrhoea",NA,NA,"2015-08-26","2015-08-26","ESC_AA3653AA",NA,1043,"","",NA,10,11,4,8,8,78,2
"ESC_AA3951AA","ETEC_24-10_V","traces-0CRkAQu;7GeneMLST;ND;;NA;Legacy","","Human","Human",2011,NA,NA,NA,"Europe","Russia","","","Cherepovets",NA,NA,NA,"SRCAMB","","O25","",NA,"Pathogen","ETEC","Diarrhoea","",NA,NA,"Diarrhoea",NA,NA,"2015-08-26","2015-08-26","ESC_AA3951AA",NA,1312,"ST10 Cplx","A",NA,6,11,4,8,8,78,2
"ESC_AA4067AA","K28-61","traces-0zrwIfq;7GeneMLST;ND;;NA;Legacy","","Human","Human",2004,NA,NA,NA,"Europe","Russia","","","Archangel",NA,NA,NA,"","","","",NA,"Pathogen","ESBL CTX-M-15","UTI","",NA,NA,"UTI",NA,NA,"2015-08-26","2015-08-26","ESC_AA4067AA",NA,1409,"ST648 Cplx","",NA,92,4,87,13,70,58,2
"ESC_AA4068AA","K35-40","traces-0VuhSWb;7GeneMLST;ND;;NA;Legacy","","Human","Human",2006,NA,NA,NA,"India","Russia","","","Archangel",NA,NA,NA,"","","","",NA,"Pathogen","ESBL CTX-M-14","UTI","",NA,NA,"UTI",NA,NA,"2015-08-26","2015-08-26","ESC_AA4068AA",NA,1410,"ST131 Cplx","",NA,53,40,47,25,36,28,29
"ESC_AA4070AA","K28-42","traces-0YyKHAd;7GeneMLST;ND;;NA;Legacy","","Human","Human",2004,NA,NA,NA,"Europe","Russia","","","Archangel",NA,NA,NA,"","","","",NA,"Pathogen","","UTI","",NA,NA,"UTI",NA,NA,"2015-08-26","2015-08-26","ESC_AA4070AA",NA,1412,"ST405 Cplx","",NA,35,37,29,1,4,5,73
"ESC_AA4071AA","K35-28","traces-0wYXZbc;7GeneMLST;ND;;NA;Legacy","","Human","Human",2006,NA,NA,NA,"Europe","Russia","","","Archangel",NA,NA,NA,"","","","",NA,"Pathogen","","UTI","",NA,NA,"UTI",NA,NA,"2015-08-26","2015-08-26","ESC_AA4071AA",NA,1413,"","",NA,6,4,12,13,20,18,7
