"Uberstrain","Name","Data.Source.Accession.No..Sequencing.Platform.Sequencing.Library.Insert.Size.Experiment.Status.","Source.Niche","Source.Type","Source.Details","Collection.Year","Collection.Month","Collection.Day","Collection.Time","Continent","Country","Region","District","City","Post.Code","Latitude","Longitude","Lab.Contact","Species","Serological.Group","Serotype","EcoR.Cluster","Path.Nonpath","Simple.Patho","Simple.Disease","Comment","Bio.Project.ID","Project.ID","Disease","Sample.ID","Secondary.Sample.ID","Date.Entered","Release.Date","Barcode","Differences","ST","ST.Complex","Lineage","Subspecies","adk","fumC","gyrB","icd","mdh","purA","recA"
"ESC_FA5586AA","DTU2016_449_PRJ1050_Eschericha_coli_889_1","ERR1759086;ILLUMINA;Paired;249;ERX1825600;SRA","","","",2014,NA,NA,NA,"Europe","Cyprus",NA,NA,NA,NA,35.1264,33.4299,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,"PRJEB18618","ERP020561",NA,"SAMEA26774668","ERS1473814","2016-12-16","2016-12-15","ESC_FA5586AA",NA,7071,"","",NA,410,959,188,83,7,8,6
"ESC_FA5587AA","DTU2016_448_PRJ1050_Eschericha_coli_817_1","ERR1759085;ILLUMINA;Paired;231;ERX1825599;SRA","","","",2014,NA,NA,NA,"Europe","Cyprus",NA,NA,NA,NA,35.1264,33.4299,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,"PRJEB18618","ERP020561",NA,"SAMEA26773918","ERS1473813","2016-12-16","2016-12-15","ESC_FA5587AA",NA,162,"ST469 Cplx","AxB1",NA,9,65,5,1,9,13,6
"ESC_FA5588AA","DTU2016_447_PRJ1050_Eschericha_coli_455_1","ERR1759084;ILLUMINA;Paired;248;ERX1825598;SRA","","","",2014,NA,NA,NA,"Europe","Cyprus",NA,NA,NA,NA,35.1264,33.4299,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,"PRJEB18618","ERP020561",NA,"SAMEA26773168","ERS1473812","2016-12-16","2016-12-15","ESC_FA5588AA",NA,88,"ST23 Cplx","B1",NA,6,4,12,1,20,12,7
"ESC_FA5589AA","DTU2016_446_PRJ1050_Eschericha_coli_01_3018","ERR1759083;ILLUMINA;Paired;229;ERX1825597;SRA","","","",2014,NA,NA,NA,"Europe","Cyprus",NA,NA,NA,NA,35.1264,33.4299,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,"PRJEB18618","ERP020561",NA,"SAMEA26772418","ERS1473811","2016-12-16","2016-12-15","ESC_FA5589AA",NA,93,"ST168 Cplx","A",NA,6,11,4,10,7,8,6
"ESC_FA5590AA","DTU2016_445_PRJ1050_Eschericha_coli_01_2289","ERR1759082;ILLUMINA;Paired;247;ERX1825596;SRA","","","",2014,NA,NA,NA,"Europe","Cyprus",NA,NA,NA,NA,35.1264,33.4299,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,"PRJEB18618","ERP020561",NA,"SAMEA26771668","ERS1473810","2016-12-16","2016-12-15","ESC_FA5590AA",NA,10,"ST10 Cplx","A",NA,10,11,4,8,8,8,2
"ESC_FA5591AA","DTU2016_444_PRJ1050_Eschericha_coli_01_2231","ERR1759081;ILLUMINA;Paired;250;ERX1825595;SRA","","","",2014,NA,NA,NA,"Europe","Cyprus",NA,NA,NA,NA,35.1264,33.4299,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,"PRJEB18618","ERP020561",NA,"SAMEA26770918","ERS1473809","2016-12-16","2016-12-15","ESC_FA5591AA",NA,1158,"ST31 Cplx","D",NA,18,3,17,6,5,5,4
"ESC_FA5592AA","DTU2016_443_PRJ1050_Eschericha_coli_01_2213","ERR1759080;ILLUMINA;Paired;226;ERX1825594;SRA","","","",2014,NA,NA,NA,"Europe","Cyprus",NA,NA,NA,NA,35.1264,33.4299,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,"PRJEB18618","ERP020561",NA,"SAMEA26770168","ERS1473808","2016-12-16","2016-12-15","ESC_FA5592AA",NA,295,"ST23 Cplx","",NA,6,4,12,1,9,2,7
"ESC_FA5593AA","DTU2016_442_PRJ1050_Eschericha_coli_194_E_C_1","ERR1759079;ILLUMINA;Paired;244;ERX1825593;SRA","","","",2014,NA,NA,NA,"Europe","Cyprus",NA,NA,NA,NA,35.1264,33.4299,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,"PRJEB18618","ERP020561",NA,"SAMEA26769418","ERS1473807","2016-12-16","2016-12-15","ESC_FA5593AA",NA,1141,"ST10 Cplx","A",NA,10,11,183,8,8,8,2
"ESC_FA5594AA","DTU2016_441_PRJ1050_Eschericha_coli_01_1917","ERR1759078;ILLUMINA;Paired;239;ERX1825592;SRA","","","",2014,NA,NA,NA,"Europe","Cyprus",NA,NA,NA,NA,35.1264,33.4299,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,"PRJEB18618","ERP020561",NA,"SAMEA26768668","ERS1473806","2016-12-16","2016-12-15","ESC_FA5594AA",NA,175,"","A",NA,8,11,4,8,41,8,2
"ESC_FA5595AA","DTU2016_440_PRJ1050_Eschericha_coli_01_1812","ERR1759077;ILLUMINA;Paired;254;ERX1825591;SRA","","","",2014,NA,NA,NA,"Europe","Cyprus",NA,NA,NA,NA,35.1264,33.4299,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,"PRJEB18618","ERP020561",NA,"SAMEA26767918","ERS1473805","2016-12-16","2016-12-15","ESC_FA5595AA",NA,752,"ST10 Cplx","A",NA,10,11,4,8,8,8,49
